港台三级,#genre#
1色降2之血玫瑰,https://vip1.lz-cdn1.com/20220331/733_58b741b7/index.m3u8
2新七擒七纵七色狼,https://jkunnzyx.com/20250426/uToXhon9/index.m3u8
3倩女幽魂,https://jkunnzyx.com/20250423/nU0wWqCw/2000kb/hls/index.m3u8
4艳降勾魂,https://jkunnzyx.com/20250422/QZeJpxSo/2000kb/hls/index.m3u8
5唐朝禁宫秘史,https://jkunnzyx.com/20250422/IzZnh5aN/2000kb/hls/index.m3u8
6唐朝豪放女,https://jkunnzyx.com/20250422/ACOOZ77D/2000kb/hls/index.m3u8?t=1759862410098
7禁春,https://jkunnzyx.com/20250420/C6pNQeJa/2000kb/hls/index.m3u8
8聊斋艳谭之月宫宝盒,https://vip1.lz-cdn1.com/20220602/7244_b84ad9e5/1200k/hls/mixed.m3u8
9惊变,https://jkunnzyx.com/20250216/DcmNwFCD/2000kb/hls/index.m3u8
10玉蒲团之偷情宝鉴,https://sex8sex811.com/20250726/gyeUh9IH/3000kb/hls/index.m3u8
11鸭王,https://vip1.lz-cdn.com/20220917/33110_558f97e4/1200k/hls/mixed.m3u8
12鸭王2：鸡同鸭恋,https://sex8sex811.com/20250720/ZVJOiFu6/3000kb/hls/index.m3u8
13玉蒲团之玉女心经,https://vip.lzcdn2.com/20220525/7634_7f4228f1/1200k/hls/mixed.m3u8
14聊斋画皮,https://vip1.lz-cdn1.com/20220602/7246_8dec3f14/1200k/hls/mixed.m3u8
15聊斋婴宁,https://vip1.lz-cdn1.com/20220602/7243_6ac4f584/1200k/hls/mixed.m3u8
16聊斋荷花三娘子,https://vip1.lz-cdn1.com/20220602/7247_71485294/1200k/hls/mixed.m3u8
17金瓶梅,https://vip1.lz-cdn1.com/20220516/5775_36eacadc/1200k/hls/mixed.m3u8
18金瓶梅2,https://vip1.lz-cdn1.com/20220516/5774_3b77c66d/1200k/hls/mixed.m3u8
193D肉蒲团之极乐宝鉴,https://vip1.lz-cdn.com/20220917/33091_abc5295d/1200k/hls/mixed.m3u8
20一路向西,https://vip1.lz-cdn.com/20220917/33114_9987901b/index.m3u8
21血恋,https://play.subokk.com/play/BeXoMrvd/index.m3u8
22血恋2,https://1.mysqldata3202s4l.com/20220906/vTtXOZiJ/index.m3u8
23鸭之一族,https://vip.lz15uu.com/20221016/425_d50261a1/index.m3u8
24五月樱唇,https://vostrely.com/20230510/TmmcwJpA/index.m3u8?t=1764471414752
25青楼十二房,https://yzzy.play-cdn7.com/20220701/2057_5582dfdc/index.m3u8?t=1764471518907
26现代情欲篇之换妻档案,https://v8.yuglf.com/202310/16/4j17Meq1LR1/video/index.m3u8?t=1764471651631
27舞男情未了,https://v.huosucdn.com/20251012/4HbI8O9k/index.m3u8
28桃色香居,https://yzzy.play-cdn14.com/20230728/30714_4c69114e/index.m3u8?t=1764472133794
29花街狂奔,https://svip.high23-playback.com/20240730/25025_60d99e11/index.m3u8?t=1764472224721
30三度诱惑,https://yzzy.play-cdn8.com/20220705/1308_6ed1e7c5/index.m3u8?t=1764472324424
31三夫,https://play.subokk.com/play/hls/QeZwkB5a/index.m3u8
32不文女学堂,https://v1.1bbffvip.com/20240714/r8cPwT4f/index.m3u8?t=1764489799259
33挡不住的风情,https://yzzy.play-cdn7.com/20220629/1259_f08bbff3/index.m3u8?t=1764490077323
34爱的精灵(李丽珍),https://s1.bfllvip.com/video/aidejingling/HD%E4%B8%AD%E5%AD%97/index.m3u8?t=1764490232892
35酱爆泡沫天国,https://play.subokk.com/play/mepgDM2d/index.m3u8
36蜜桃成熟时,https://play.phimgood.com/20250829/25929_0283ed0e/index.m3u8
37蜜桃成熟时2同居关系,https://vostrely.com/20230509/IpkC7qSA/index.m3u8?t=1764490590670
38蜜桃成熟时3蜜桃仙子,https://ukzyll.ukubf6.com/20220527/NIgfOdhM/index.m3u8?t=1764490721765
39蜜桃成熟时33D,https://play.subokk.com/play/NbW4Q7Ed/index.m3u8
40兽性诱惑之赤裸性游戏,https://yzzy.play-cdn6.com/20220805/8742_21203fa9/index.m3u8?t=1764490892225
41满清十大酷刑之杨乃武与小白菜,https://bfikuncdn.com/20240423/i3VnccSZ/index.m3u8?t=1764491034766
42满清十大酷刑之赤裸凌迟,https://play.phimgood.com/20250831/25950_ca8a2575/index.m3u8?t=1764510632070
43big波诱惑,https://play.subokk.com/play/1aMp7ReW/index.m3u8
44玉蒲团笑传之大內密探零零性,https://jpzy01.com/20240514/EK0sDhFi/index.m3u8?t=1764491437668
45爱很烂(无码),https://jpzy01.com/20211123/ds6ASR5i/index.m3u8?t=1764491676709
46苹果,https://play.subokk.com/play/1aMj09Pb/index.m3u8
47天浴,https://v.cdnlz2.com/20230918/26240_a6b81ab0/index.m3u8?t=1764492072297
48色戒,https://1080p.huyall.com/play/0dNxgO8a/index.m3u8?t=1764492136224
49聊斋志异之孽欲孤鬼,https://play.subokk.com/play/Xe0gMZvd/index.m3u8?t=1764492414384
50兽性新人类,https://yzzy.play-cdn7.com/20220701/2384_e248cbb9/index.m3u8?t=1764492497766
51兽性新人类2失忆性行为,https://yzzy.play-cdn9.com/20220927/20_5a5a0b21/index.m3u8?t=1764492490362
52聊斋艳奇之陆判性经,https://vip.lz15uu.com/20221003/329_2b99c463/index.m3u8?t=1764492625082
53制服的挑逗,https://s1.bfllvip.com/video/zhifudetiaodou/%E4%B8%AD%E5%AD%97/index.m3u8?t=1764492746431
54色欲城市之赤裸姐妹花,https://yzzy.play-cdn8.com/20220911/19276_b0e6b068/index.m3u8?t=1764492809683
55男偷情女出墙(无码),https://vostrely.com/20241229/12ADicu1/index.m3u8
56风情小姨子(无码),https://svip.yyzy-play.vip/20240317/174_daf88a54/2000k/hls/mixed.m3u8
57辣妹交友记(无码),https://jpzy01.com/20230428/4s3zmkMH/1000kb/hls/index.m3u8
58齐天大性之大闹女儿国,https://1080p.huyall.com/play/vbmyq3pb/index.m3u8?t=1764510081766
59齐天大性II之大破盘丝洞,https://v8.yuglf.com/202310/10/swE3mnY9Ku1/video/index.m3u8?t=1764508812894
60偷窥无罪,https://vostrely.com/20230308/EMnvvLhN/index.m3u8?t=1764508955434
61偷窥无罪2,https://ukzyll.ukubf6.com/20220716/eZrqMx1k/index.m3u8?t=1764509022015
62偷窥无罪3绝色网吧,https://1080p.huyall.com/play/QbYvWAWd/index.m3u8?t=1764509692549
63偷窥无罪4淫人师表,https://jpzy01.com/20240502/Kj7kl0YI/index.m3u8?t=1764492332227
64百分百挑逗,https://vip1.lz-cdn1.com/20220327/585_779ead1d/index.m3u8?t=1764509360291
65愈穷愈见鬼,https://play.maoyanplay.top/20250812/Slj5aYnl/index.m3u8?t=1764509464562
66灯草和尚1素女经,https://yzzy.play-cdn8.com/2022072
